model,feature_set,method_type,eval_protocol,worst_group_sensitivity,macro_avg_fnr,fnr_gap,recall,f1,auc,dp_diff
CatBoost,Original Features,Standard,5-fold CV,0.7926973223393441,0.2000703788232764,0.0144645976747591,0.7995842988648232,0.4458270044663167,0.8150427317409503,0.0708132038229485
XGBoost,Original Features,Standard,5-fold CV,0.7901974141035328,0.1979537378406994,0.0236976961115353,0.801493179481497,0.4459413182539068,0.8161296795432682,0.0780627565422735
LightGBM,Original Features,Standard,5-fold CV,0.7701674351710059,0.2187438580811128,0.0221774134957624,0.7807506690225026,0.4511853520829813,0.8162870451359797,0.0754632066384412
Logistic Regression,Original Features,Standard,5-fold CV,0.7476468654938255,0.2416686293856234,0.0213690102411019,0.7578426850360174,0.450378428197164,0.8094005940832296,0.070276710943724
Fairlearn-DP,Original Features,Fairness-Aware,5-fold CV,0.7291706286457058,0.2471342398289639,0.0473902630506603,0.7539108256831579,0.4497172916764965,0.7326044929574657,0.0077346644818167
Random Forest,Original Features,Standard,5-fold CV,0.7117393536243947,0.2792848653998849,0.0179515619514406,0.7211446383422448,0.4592168423127344,0.811794691005695,0.0345283911108255
VFAE,Original Features,Fair Deep Representation,5-fold CV,0.6337001796014308,0.3628060889973596,0.0069874628024189,0.6371490407193499,0.4696312207907437,0.8139619261982866,0.0420310666029102
MLP,Original Features,Standard,5-fold CV,0.1495360217825782,0.8460820241330843,0.0087639081686748,0.1541161860623322,0.2424188349082248,0.8136513208703156,0.0037267640113707
CatBoost,Without Sensitive Attributes,Standard,5-fold CV,0.7613244247863641,0.2184998376243448,0.0403514751785821,0.7824033423321071,0.4374800495151406,0.8046670110877319,0.0284786960400249
XGBoost,Without Sensitive Attributes,Standard,5-fold CV,0.7603917023814935,0.2203250165407623,0.0385665621554883,0.7805511941742174,0.438719375669146,0.8051857732834149,0.0284499299902113
LightGBM,Without Sensitive Attributes,Standard,5-fold CV,0.7399367849247193,0.2389762470681529,0.0421739360142557,0.7619741613017009,0.4442239988029291,0.8052305625371391,0.0257799278603291
Logistic Regression,Without Sensitive Attributes,Standard,5-fold CV,0.7236679830362762,0.2550113733195964,0.0426412872882547,0.7459328180855463,0.4430025356827972,0.8003352575971363,0.0205821010079551
Fairlearn-DP,Without Sensitive Attributes,Fairness-Aware,5-fold CV,0.7152596775177871,0.2584247745764851,0.0526310958114553,0.7427417238273486,0.4443619893821363,0.7269016160403244,0.0123284872642157
Random Forest,Without Sensitive Attributes,Standard,5-fold CV,0.6886062808970463,0.2881154375225717,0.0465565631607637,0.7129387511065812,0.4492475126984063,0.8012825862017527,0.0217776959849425
VFAE,Without Sensitive Attributes,Fair Deep Representation,5-fold CV,0.5864078859201965,0.3833835496977558,0.0604171287640952,0.6180023818134661,0.4590581218055946,0.8033967728856564,0.0059837648191853
MLP,Without Sensitive Attributes,Standard,5-fold CV,0.111678858980987,0.8664855351590905,0.0436712117198447,0.1345126760128897,0.2175853771057554,0.8025466238300236,0.0071058341972673
ERM source-pooled,Without Sensitive Attributes + Proxy-Reduced Features,Transfer/Oracle,Source→Target Holdout,0.8748326639892905,0.1153458248032376,0.0196430224149437,0.8879787469559443,0.5056094793898903,0.7714561056837027,0.0148050636665055
IRM source-invariant,Without Sensitive Attributes + Proxy-Reduced Features,Invariant Learning,Source→Target Holdout,0.8453815261044176,0.1469420520321444,0.0153528437268757,0.8556564091210981,0.5002264932375591,0.7543709384268061,0.0132405113771444
VFAE,Without Sensitive Attributes + Proxy-Reduced Features,Fair Deep Representation,Holdout,0.790471675752548,0.1979584541105536,0.0231397402737966,0.8024846136311831,0.4349518161601186,0.8044625752508023,0.0422913775333362
XGBoost,Without Sensitive Attributes + Proxy-Reduced Features,Standard,5-fold CV,0.7675603390584953,0.2187530864996124,0.0273731488837844,0.7818619221981524,0.4376583774782747,0.8039984803388098,0.0400038943656141
CatBoost,Without Sensitive Attributes + Proxy-Reduced Features,Standard,5-fold CV,0.7672221533890898,0.2192575940021625,0.0270405052174951,0.7813491828650683,0.4373494632414257,0.8035258257819091,0.0388643976095384
MLP non-private,Without Sensitive Attributes + Proxy-Reduced Features,Standard,Holdout,0.7482815833135814,0.2408976276626385,0.0216415780475602,0.7595167540460451,0.4470682946464511,0.8047227784585467,0.0380796345140428
LightGBM,Without Sensitive Attributes + Proxy-Reduced Features,Standard,5-fold CV,0.7470719146567708,0.2385419289069942,0.0287723128724699,0.7621166723289533,0.4432214610062336,0.803695073370476,0.0370142241318706
DP-LR (ε=inf),Without Sensitive Attributes + Proxy-Reduced Features,Differential Privacy,Holdout,0.7342972268310026,,0.0332110058803036,0.7515386368816959,0.4412768520377434,0.8012504452385806,0.0340690481241254
Logistic Regression,Without Sensitive Attributes + Proxy-Reduced Features,Standard,5-fold CV,0.7312534173522126,0.2533264741335426,0.0308402170284896,0.7473575062234415,0.4410539767785518,0.7992436958334627,0.0309617870826484
Fairlearn-DP,Without Sensitive Attributes + Proxy-Reduced Features,Fairness-Aware,5-fold CV,0.7241478803624787,0.2560087689372248,0.039686701400593,0.7448786302055999,0.4416644533528086,0.7254491967646358,0.0232521186279231
Oracle target-trained,Without Sensitive Attributes + Proxy-Reduced Features,Transfer/Oracle,Source→Target Holdout,0.713520749665328,0.2734083317502007,0.0261418371689426,0.7310161611689174,0.5288700248258188,0.7714833643159884,0.0113502514194269
Random Forest,Without Sensitive Attributes + Proxy-Reduced Features,Standard,5-fold CV,0.7036336623628734,0.2792127263672924,0.0343072225396683,0.7215719400617535,0.4475182008326508,0.7999346551639882,0.0302185635835291
DP-SGD MLP (ε=3.0),Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.6548945247689025,0.3254616289437594,0.0392876925746759,0.675290631410987,0.4579179225597032,0.8031812896107542,0.0299582288463386
DP-SGD MLP (ε=5.0),Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.6390139843564826,0.3459156203354798,0.030140790616075,0.6546614998860268,0.4551685882958913,0.8028839357920174,0.0350420951529339
DP-SGD MLP (ε=10.0),Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.6371178004266413,0.3442292446823983,0.0373059097819206,0.6564850695235924,0.4570703063005872,0.8030002132173008,0.0287189925861429
DP-SGD MLP (ε=0.5),Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.6330884095757289,0.3439387809421026,0.0459456189643369,0.6569409619329838,0.4546817070284767,0.7993491501434203,0.0291130229900574
DP-SGD MLP (ε=1.0),Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.6079639725053331,0.376259506612317,0.0315530417646999,0.6243446546614999,0.4584100418410042,0.7996891861208789,0.0281844750631761
VFAE,Without Sensitive Attributes + Proxy-Reduced Features,Fair Deep Representation,5-fold CV,0.5959779123817517,0.3815564840999429,0.0449312070366107,0.6194841068341567,0.4582474599464369,0.8020662844621882,0.0182765615638986
DP-LR (ε=0.1),Without Sensitive Attributes + Proxy-Reduced Features,Differential Privacy,Holdout,0.1922256458876511,,0.0198489973615255,0.2025302028721221,0.2749922624574435,0.7374673445777569,0.0002336452223481
DP-LR (ε=0.5),Without Sensitive Attributes + Proxy-Reduced Features,Differential Privacy,Holdout,0.1443470016591609,,0.0299669390653176,0.1599042625940278,0.2492671226792218,0.7988274232863922,0.0022971917871024
DP-LR (ε=1.0),Without Sensitive Attributes + Proxy-Reduced Features,Differential Privacy,Holdout,0.1396065418345579,,0.0336097040490863,0.1570549350353316,0.246313343462329,0.800706650824808,0.0034903255738278
DP-LR (ε=5.0),Without Sensitive Attributes + Proxy-Reduced Features,Differential Privacy,Holdout,0.1360511969661057,,0.038043204790206,0.1558012309095053,0.2451798045018384,0.8011435903246393,0.004491616324864
MLP,Without Sensitive Attributes + Proxy-Reduced Features,Standard,5-fold CV,0.1226395162924092,0.8578696643640971,0.0389816386869874,0.1430036299519131,0.2281639230109958,0.8016804599092806,0.005640773481219
