model,feature_set,experiment,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,brier_mean,brier_std,error_rate_mean,error_rate_std,fnr_mean,fnr_std,sex_group_dp_diff_mean,sex_group_dp_diff_std,sex_group_di_ratio_mean,sex_group_di_ratio_std,sex_group_tpr_gap_mean,sex_group_tpr_gap_std,sex_group_fpr_gap_mean,sex_group_fpr_gap_std,sex_group_fnr_gap_mean,sex_group_fnr_gap_std,sex_group_accuracy_gap_mean,sex_group_accuracy_gap_std,sex_group_equalized_odds_diff_mean,sex_group_equalized_odds_diff_std,sex_group_worst_group_sensitivity_mean,sex_group_worst_group_sensitivity_std,sex_group_macro_avg_fnr_mean,sex_group_macro_avg_fnr_std,sex_group_group_auc_mean_mean,sex_group_group_auc_mean_std,sex_group_group_brier_mean_mean,sex_group_group_brier_mean_std,age_group_dp_diff_mean,age_group_dp_diff_std,age_group_di_ratio_mean,age_group_di_ratio_std,age_group_tpr_gap_mean,age_group_tpr_gap_std,age_group_fpr_gap_mean,age_group_fpr_gap_std,age_group_fnr_gap_mean,age_group_fnr_gap_std,age_group_accuracy_gap_mean,age_group_accuracy_gap_std,age_group_equalized_odds_diff_mean,age_group_equalized_odds_diff_std,age_group_worst_group_sensitivity_mean,age_group_worst_group_sensitivity_std,age_group_macro_avg_fnr_mean,age_group_macro_avg_fnr_std,age_group_group_auc_mean_mean,age_group_group_auc_mean_std,age_group_group_brier_mean_mean,age_group_group_brier_mean_std,income_group_dp_diff_mean,income_group_dp_diff_std,income_group_di_ratio_mean,income_group_di_ratio_std,income_group_tpr_gap_mean,income_group_tpr_gap_std,income_group_fpr_gap_mean,income_group_fpr_gap_std,income_group_fnr_gap_mean,income_group_fnr_gap_std,income_group_accuracy_gap_mean,income_group_accuracy_gap_std,income_group_equalized_odds_diff_mean,income_group_equalized_odds_diff_std,income_group_worst_group_sensitivity_mean,income_group_worst_group_sensitivity_std,income_group_macro_avg_fnr_mean,income_group_macro_avg_fnr_std,income_group_group_auc_mean_mean,income_group_group_auc_mean_std,income_group_group_brier_mean_mean,income_group_group_brier_mean_std,education_group_dp_diff_mean,education_group_dp_diff_std,education_group_di_ratio_mean,education_group_di_ratio_std,education_group_tpr_gap_mean,education_group_tpr_gap_std,education_group_fpr_gap_mean,education_group_fpr_gap_std,education_group_fnr_gap_mean,education_group_fnr_gap_std,education_group_accuracy_gap_mean,education_group_accuracy_gap_std,education_group_equalized_odds_diff_mean,education_group_equalized_odds_diff_std,education_group_worst_group_sensitivity_mean,education_group_worst_group_sensitivity_std,education_group_macro_avg_fnr_mean,education_group_macro_avg_fnr_std,education_group_group_auc_mean_mean,education_group_group_auc_mean_std,education_group_group_brier_mean_mean,education_group_group_brier_mean_std,intersection_group_dp_diff_mean,intersection_group_dp_diff_std,intersection_group_di_ratio_mean,intersection_group_di_ratio_std,intersection_group_tpr_gap_mean,intersection_group_tpr_gap_std,intersection_group_fpr_gap_mean,intersection_group_fpr_gap_std,intersection_group_fnr_gap_mean,intersection_group_fnr_gap_std,intersection_group_accuracy_gap_mean,intersection_group_accuracy_gap_std,intersection_group_equalized_odds_diff_mean,intersection_group_equalized_odds_diff_std,intersection_group_worst_group_sensitivity_mean,intersection_group_worst_group_sensitivity_std,intersection_group_macro_avg_fnr_mean,intersection_group_macro_avg_fnr_std,intersection_group_group_auc_mean_mean,intersection_group_group_auc_mean_std,intersection_group_group_brier_mean_mean,intersection_group_group_brier_mean_std
Logistic Regression,Original Features,raw_dataset,0.7171008521448173,0.001565643245596257,0.32039547449349015,0.001366213668885181,0.7578426850360174,0.004550217823026174,0.450378428197164,0.0017119609887738764,0.8094005940832296,0.00298061248843486,0.18289199024006786,0.0008356263876313864,0.2828991478551828,0.0015656432455962571,0.24215731496398257,0.004550217823026174,0.07027671094372405,0.0032836765216534953,0.8248474361040244,0.007529327217746318,0.021369010241101938,0.006529664139237258,0.0661983726162957,0.004386319877137497,0.021369010241101973,0.006529664139237216,0.05142524455600106,0.004028964743516193,0.0661983726162957,0.004386319877137497,0.7476468654938255,0.006237921629987224,0.24166862938562347,0.004595415210172984,0.8075395963807701,0.0029350360764221466,0.18461736365543283,0.0009019812558801622,0.4918169870634682,0.0049420501844512485,0.13451098820664834,0.007517735791424559,0.4037344981083447,0.03557690562123598,0.4352109178113953,0.003667508436903751,0.40373449810834483,0.035576905621236,0.3410178460276265,0.002862010094283126,0.43978922111305635,0.011544252431928926,0.4269235967941788,0.032356146893118,0.3415946256312251,0.007998485871002717,0.7959111369321159,0.001181998017637722,0.16790825679380122,0.0007850634862478073,0.341168470729701,0.004309619688024788,0.4148689433366924,0.0054837401342982,0.23446464883766768,0.018341340903478248,0.2980446379540963,0.005499449299300114,0.23446464883766768,0.01834134090347825,0.1918575610196414,0.005622531824661672,0.2980446379540963,0.005499449299300114,0.6381763890793564,0.010065417917262755,0.23334405550297857,0.004673317536737587,0.7930351292634901,0.003278718700476772,0.20074586883377016,0.0009468335788797876,0.3956801909630279,0.021440053714155038,0.39781483593436323,0.013021557795974378,0.2184844899823303,0.0253287138488165,0.3534146120313516,0.025769152706821122,0.21848448998233025,0.025328713848816475,0.20763108252828255,0.018522593106814953,0.3534146120313516,0.025769152706821122,0.6725701409278807,0.0024062696824261507,0.21618126698543208,0.009777073361489374,0.79211732498803,0.0067984568246468,0.208026885920372,0.0024209846152366756,0.5622325508627848,0.002085044669974369,0.1063644835633996,0.00690781687817667,0.4285355066786236,0.03342572859357105,0.5096979255037509,0.0014503097543851855,0.4285355066786236,0.03342572859357107,0.3845077750356132,0.0015624178902952218,0.5096979255037509,0.0014503097543851855,0.41052669072282455,0.036307103085368636,0.3404055251033832,0.0078078239743051055,0.79342703415398,0.001350263577994849,0.16968307392123386,0.000896723544817118
Random Forest,Original Features,raw_dataset,0.7402276656848858,0.001968783301507719,0.3368670573565306,0.002687360952179973,0.7211446383422448,0.006539478702182078,0.4592168423127344,0.003616114571772857,0.811794691005695,0.0033881806257504226,0.1685985404004868,0.0007943952063116777,0.25977233431511415,0.001968783301507719,0.27885536165775515,0.006539478702182078,0.03452839111082556,0.0037408391142781986,0.9004365406137316,0.010731135487024594,0.017951561951440674,0.008080908495771097,0.031143243435675854,0.004192904987392805,0.017951561951440674,0.008080908495771068,0.029607841539195556,0.0037324490680644396,0.031143243435675854,0.004192904987392805,0.7117393536243947,0.004339851825469064,0.2792848653998849,0.006387853421511364,0.8100489907768255,0.0032641477986294037,0.1695741249463511,0.000835346705941819,0.4521967340772169,0.0035881606348421905,0.10148576390388735,0.0041497827353492766,0.44682533187276074,0.031236979113892428,0.3886436802281841,0.002362923427022342,0.44682533187276074,0.03123697911389241,0.31544586391072416,0.002450554431658477,0.44682533187276074,0.031236979113892428,0.33200826655397775,0.026129775672359603,0.3936478830242952,0.0056237916790654405,0.7992787889939508,0.0018668105085461624,0.15361948970888545,0.0007443117030558926,0.28852689267492965,0.0020379471501443553,0.43740843133758806,0.0035023370467580396,0.2064358556065678,0.01939393041098642,0.23888859271747648,0.004380340167705796,0.20643585560656774,0.019393930410986405,0.15909034489188048,0.006226829654024073,0.23888859271747648,0.004380340167705796,0.6139199715048026,0.009906634588461867,0.27138345643423767,0.006523055275996185,0.7963809805487173,0.0039080036412250125,0.1822103554238567,0.0009522711101431156,0.3358680398151338,0.015715348591315507,0.4097173691994132,0.013477254841549718,0.20993685260869963,0.028014777250423815,0.2756016560925958,0.018056839531880142,0.20993685260869963,0.028014777250423787,0.16672554613853557,0.015547423779703988,0.2756016560925958,0.018056839531880142,0.633156148102677,0.004188249285203707,0.25695367239154204,0.008174819931451078,0.7941778494155656,0.0063040160034910355,0.18522444522065415,0.0020554800337974338,0.4933462605611691,0.005319797454220444,0.09072664296406466,0.005665320284371184,0.4748476067986342,0.02865391371446458,0.43066565674242147,0.0044238822918709056,0.4748476067986342,0.028653913714464622,0.3421764691238657,0.0032730939558521417,0.4748476067986342,0.02865391371446458,0.3098528975770084,0.025156534942719928,0.39459518684241374,0.005625054667880218,0.7964089416873643,0.001878454212857983,0.15467627988996951,0.0008173034956893958
XGBoost,Original Features,raw_dataset,0.7088689887965092,0.001785199471597411,0.3168865167679999,0.0018241065336626902,0.7817479336712847,0.004061924732801202,0.4509680409303406,0.0023435046998042837,0.8161056056924947,0.0027392022679988692,0.18138261410229028,0.0006349523003816255,0.2911310112034907,0.001785199471597411,0.21825206632871544,0.004061924732801202,0.074370084997312,0.0026467405148510267,0.8225267934094168,0.005974000011838568,0.02014483877681659,0.005970039178628397,0.0709969213645925,0.0032080558452373883,0.02014483877681662,0.005970039178628414,0.05476285026724477,0.0028760621934792907,0.0709969213645925,0.0032080558452373883,0.772137937626336,0.006004164958245354,0.21778964298525577,0.004036966011091578,0.8141721178143388,0.0027162658712245225,0.18302643752819708,0.0007199097176471449,0.5055776801599132,0.006388509865116999,0.12383124697874201,0.0057502539646959285,0.4181545209305003,0.03279572093536406,0.4481295812619884,0.00648446992463113,0.4181545209305003,0.03279572093536407,0.34923744647451277,0.004410403518990695,0.4525295520325132,0.011213765659252178,0.4247345714567473,0.02815681687711447,0.32417807794865017,0.005348276838403046,0.8041761820591639,0.0014341264287204497,0.16497598025235008,0.0006292362355407919,0.32758229791545607,0.004322064432053281,0.4447155492895578,0.0057784919624385535,0.2078676120345123,0.02032960876055697,0.2851845505119526,0.005514881279177267,0.2078676120345123,0.02032960876055697,0.181112798760423,0.0065159486932223004,0.2851845505119526,0.005514881279177267,0.6761795455253081,0.00848642802701886,0.210359614452106,0.004070977483686886,0.8009757749261484,0.0031127571739650657,0.19816439219343987,0.000822027368732532,0.4130175479904031,0.018777157853100676,0.4020364771019117,0.012100952842037759,0.21273888964425777,0.02001404387852145,0.3765086546459534,0.024485596584018134,0.21273888964425777,0.020014043878521418,0.21791691203150165,0.016117178492791852,0.3765086546459534,0.024485596584018134,0.7028900843247872,0.0040456832502831445,0.1908427112760395,0.006714815138558479,0.7988489303652895,0.006220364983651092,0.207126891543466,0.0024539534783810466,0.5986236606640392,0.010153627124662095,0.10423772400166706,0.005901066891298024,0.46984407139331574,0.03521355927502654,0.5490279004210731,0.011354966337146796,0.46984407139331574,0.03521355927502653,0.4088739225046183,0.0073514577258913015,0.5490279004210731,0.011354966337146796,0.39915431787488204,0.03427428249779006,0.32495474161699867,0.005571025719951711,0.800892792695547,0.0016835337997167616,0.16675475394488745,0.0007619766981432296
LightGBM,Original Features,raw_dataset,0.7094965091786107,0.0016466659639446807,0.3172658673371842,0.0016238040196247347,0.7807506690225026,0.004195319717241434,0.45118535208298133,0.002100598698789618,0.8162870451359797,0.0026608959244651506,0.18060578817276246,0.0006095887203260834,0.2905034908213892,0.0016466659639446807,0.21924933097749738,0.004195319717241434,0.07546320663844128,0.005860500418497055,0.8198252454761589,0.01303596351962315,0.022177413495762476,0.008909732260264789,0.0719224189100145,0.0055956673779581035,0.022177413495762455,0.008909732260264779,0.05527678062848458,0.0039052363099479244,0.0719224189100145,0.0055956673779581035,0.7701674351710059,0.006756569282612507,0.2187438580811128,0.004198696141880197,0.8143642043354532,0.002647867716739139,0.18225552236222523,0.0006953116164288934,0.507378571352749,0.00539621144628123,0.1244878406739132,0.004635959422892138,0.4155112085455882,0.035809486221724675,0.45047544969244224,0.005497429731075004,0.4155112085455882,0.035809486221724654,0.35091190768585717,0.0036898293021006283,0.45448325415681995,0.00987440882401233,0.4284105718842991,0.032366027371126926,0.32401323431614537,0.006684235303210049,0.8047520137831935,0.0015146229933874294,0.16420949752052846,0.0006003149916679424,0.3297212497532576,0.006404979233983688,0.44152950382525435,0.008182564451737371,0.20925883404250292,0.02238547647501714,0.2876259289230183,0.006356775751506885,0.20925883404250292,0.022385476475017152,0.18312085794444913,0.00569307845752325,0.2876259289230183,0.006356775751506885,0.6741407622055199,0.010965171031158212,0.21134773272049184,0.0038283718213719957,0.8011772571692388,0.003063200801234231,0.1973263986471075,0.0007986610175030392,0.40697298345732297,0.018982668161589517,0.40514779433036685,0.01303983971462302,0.21007828076059348,0.019481636070023498,0.36881900070772133,0.024292106924614424,0.21007828076059348,0.019481636070023445,0.21328932129260317,0.017112979311484915,0.36881900070772133,0.024292106924614424,0.7027902703685959,0.0037950295774248173,0.1922330934474068,0.003563630589885245,0.7994109965361125,0.005775210326240834,0.20613985048610103,0.0025548908859711183,0.6071449799940526,0.00790524834888764,0.10130519362270671,0.0064660514170623695,0.4765423187570718,0.041728458380415716,0.5577959433767503,0.009531053756231674,0.4765423187570718,0.04172845838041568,0.41465052947317266,0.006048250678938948,0.5577959433767503,0.009531053756231674,0.3967186382662505,0.03985511589333622,0.3252361167655772,0.007050009527409226,0.8015480643505963,0.001784218109827462,0.16599311327922073,0.000724508564319284
CatBoost,Original Features,raw_dataset,0.7096446722322706,0.0012606767769317755,0.31737153482306113,0.0014703973719345505,0.7806367494984107,0.004194819786265017,0.45127421393423833,0.002079828296842002,0.8150831386053685,0.00276596997530141,0.18200026521971022,0.0007187560385712994,0.29035532776772943,0.0012606767769317755,0.21936325050158928,0.004194819786265017,0.06927807455978716,0.004745395542689001,0.8331388168789061,0.0104064366157407,0.014741789495423574,0.0103536130840903,0.06595534354146665,0.005404830210207425,0.014741789495423579,0.010353613084090278,0.05139893932276192,0.004591525341961622,0.06595534354146665,0.005404830210207425,0.7736138393008264,0.007572926019021695,0.21901526595146184,0.00414773361761055,0.8131574475993417,0.002754862886487621,0.18358110932852395,0.0007827643835248609,0.5075354394657935,0.004317375478481154,0.11865690818210524,0.006385403922449,0.4329944342457906,0.02988337763493313,0.4494920886728984,0.0032950738909151454,0.4329944342457906,0.029883377634933143,0.3502706603830713,0.0027451988924861183,0.45634132614395906,0.016271000785160174,0.40872435123432194,0.02601328429060868,0.32952432043761887,0.005280730560727806,0.8024943174717464,0.0012220994210595275,0.16558773775626345,0.0007284628265376438,0.33157317631427474,0.00597870023830601,0.43948375554261593,0.007179272733070417,0.2102779425731863,0.022428110732340176,0.2898316109841712,0.006152016966549619,0.2102779425731863,0.022428110732340186,0.18478452115816954,0.006047219979025598,0.2898316109841712,0.006152016966549619,0.6730075085986458,0.009191180430763111,0.21149858278491274,0.004320184661604131,0.7997256354305875,0.003287393393790455,0.19884360903144133,0.0009253068161239133,0.4098134462118875,0.020005730789161836,0.40297099416117216,0.012997629202077214,0.2149136742600978,0.026185691412430687,0.3715321056652936,0.02871063717494344,0.21491367426009783,0.0261856914124307,0.21446516174645797,0.021899573087315514,0.3715321056652936,0.02871063717494344,0.6999613376237189,0.005350530563742634,0.19218338715154124,0.007116208917963059,0.7974466294205441,0.006410991058333788,0.20782394631592233,0.002674357891553352,0.5852383235742545,0.005014221514386435,0.10219135271515405,0.0055943912856241,0.4654970963887072,0.03182830120477085,0.5337835094852778,0.00533601725977352,0.4654970963887072,0.03182830120477084,0.39920187773169724,0.003225735804427088,0.5337835094852778,0.00533601725977352,0.3923537720931556,0.0290404506558427,0.3299855531278555,0.005529549186598543,0.7991326306241759,0.0015942858202828186,0.1672699726628421,0.0008405186756952601
MLP,Original Features,raw_dataset,0.7794129227611005,0.002614978229446551,0.37112717070815304,0.0037822929693288277,0.6366642190976142,0.008256433372846048,0.46889494172083757,0.004165435651656925,0.8136513208703156,0.002622453390109623,0.10626798810019425,0.000565147721827854,0.22058707723889937,0.002614978229446551,0.3633357809023859,0.008256433372846048,0.055628052577334164,0.007132495646085237,0.8108688340588566,0.02020750663841151,0.022470361529445017,0.01184966389311277,0.04937086340860122,0.006370601503460027,0.022470361529445027,0.011849663893112743,0.042201494163348174,0.003731472915500222,0.04937086340860122,0.006370601503460027,0.6259214071785867,0.009622372888233019,0.36284341205669074,0.008283318328037734,0.811677592718658,0.0026195950638206815,0.107239701404824,0.0006109086767838958,0.35796773463038967,0.006934341015525911,0.10252382579390744,0.008181805340745297,0.39558418173902965,0.019636467089771584,0.29025825533566935,0.007948030880535847,0.3955841817390296,0.019636467089771622,0.25875585319619165,0.006888093898893135,0.39558418173902965,0.019636467089771584,0.287932355800257,0.018211070238138317,0.465837325270743,0.006577852872934265,0.8017614835794065,0.0010001144683553051,0.09685684630888472,0.0004768515065552432,0.3103405381794662,0.01221402375419824,0.3384723919354247,0.010485386997087625,0.29116915472080457,0.022808497445751807,0.251190489436752,0.01173215936410238,0.29116915472080457,0.022808497445751797,0.17139590888654171,0.008084502211483534,0.29116915472080457,0.022808497445751807,0.49427964649516143,0.01460652015208621,0.35148066627158986,0.007244121418289224,0.7980214732404843,0.002618104012806412,0.11732335068470137,0.0008025324040619148,0.37838888951610744,0.0418870790175254,0.31959265152092675,0.02912241299403097,0.2996302353098913,0.04577390357832675,0.31053730484202097,0.04466392169414512,0.2996302353098913,0.045773903578326725,0.19107146772818334,0.027468116078510334,0.32317681393671266,0.036089091626901715,0.5348129694621274,0.013695645739433254,0.3200959616516458,0.006735945975012142,0.7963644927459612,0.006372903620487361,0.1249095385173474,0.002589852995797445,0.436988024844384,0.012476013620138525,0.077321637360658,0.011271203430208326,0.4737576644361627,0.02521003278680629,0.36590776593208935,0.014739534369925264,0.4737576644361627,0.025210032786806245,0.3080307493354649,0.011088385057494538,0.4737576644361627,0.02521003278680629,0.2425026132929317,0.031165218449887046,0.4676618351418883,0.007209481667670934,0.7984522918949933,0.0014037058463015994,0.09792383592561604,0.0005353875308804031
Fairlearn-DP,Original Features,raw_dataset,0.717815533402798,0.0018740533912041573,0.3204323888143183,0.0018117981999485602,0.7539108256831579,0.005383721821106421,0.44971729167649654,0.0023338122337512764,0.7326044929574657,0.002411213038051506,0.28218446659720187,0.0018740533912041653,0.28218446659720187,0.0018740533912041575,0.24608917431684213,0.005383721821106421,0.007734664481816788,0.005662007553837541,0.9788960137379256,0.015221185667021086,0.04739026305066034,0.009666625001477077,0.0060811258519323005,0.00597373248987063,0.04739026305066034,0.009666625001477054,0.009208495572849307,0.006025216907533451,0.04739026305066034,0.009666625001477077,0.7291706286457058,0.009009229441107039,0.24713423982896393,0.005322853275632164,0.7319710793585295,0.0021685567822391813,0.2827390092514806,0.0017105977636366432,0.49132108108427514,0.004751298375383933,0.1335016578642956,0.007094384100471314,0.3969426833321771,0.028894581451107685,0.4361905193179492,0.003676227224008575,0.3969426833321771,0.028894581451107685,0.34332329751702934,0.00224932051663373,0.43714039646238223,0.0046477842191973325,0.4273917568416983,0.025306791581506248,0.3440943213762127,0.005136788883339824,0.6929588178741805,0.001784088683054261,0.2559135782819143,0.0018719822539388017,0.3569196012568702,0.005580341579188178,0.3952668345983326,0.00716130577811835,0.25602672665610343,0.019732832352979957,0.31354047432364873,0.006072430411347993,0.2560267266561033,0.01973283235297991,0.2016224315948909,0.00562904694097511,0.31354047432364873,0.006072430411347993,0.6213937479876128,0.00997789488704616,0.2367413459031149,0.0053712344151537325,0.7086688575395689,0.0021905870904930774,0.31447786327407157,0.0015435023337857544,0.39970130615869737,0.019780915589049652,0.3902982664314584,0.011686997270985528,0.2296213318730468,0.02382840041414786,0.35617997941158513,0.023781321555140005,0.22962133187304684,0.02382840041414783,0.20930241097837782,0.018929394992356893,0.35617997941158513,0.023781321555140005,0.6602661419911443,0.0030208822923170546,0.22082653515300182,0.00865755711989007,0.7059028530710402,0.004597693090412433,0.3216393239988252,0.0049985931211321095,0.5067227226667276,0.0046549444103485774,0.12498191405877186,0.007598060406395765,0.4434663201391354,0.024676283333708738,0.448956031591225,0.005784016368806669,0.4434663201391354,0.024676283333708738,0.3500226717919919,0.0036410103810613223,0.455108356054671,0.014708352927465503,0.40404199744329194,0.01795549705302418,0.345721866578921,0.00485387558471139,0.69161147383653,0.001692829772498032,0.2566595756645258,0.0017697055437989088
